,protocol,week_date,commit_count
0,Bitcoin,2017-01-29,38.0
1,Bitcoin,2017-02-05,73.0
2,Bitcoin,2017-02-12,51.0
3,Bitcoin,2017-02-19,56.0
4,Bitcoin,2017-02-26,40.0
5,Bitcoin,2017-03-05,74.0
6,Bitcoin,2017-03-12,21.0
7,Bitcoin,2017-03-19,43.0
8,Bitcoin,2017-03-26,59.0
9,Bitcoin,2017-04-02,39.0
10,Bitcoin,2017-04-09,44.0
11,Bitcoin,2017-04-16,53.0
12,Bitcoin,2017-04-23,56.0
13,Bitcoin,2017-04-30,43.0
14,Bitcoin,2017-05-07,28.0
15,Bitcoin,2017-05-14,20.0
16,Bitcoin,2017-05-21,29.0
17,Bitcoin,2017-05-28,35.0
18,Bitcoin,2017-06-04,78.0
19,Bitcoin,2017-06-11,28.0
20,Bitcoin,2017-06-18,29.0
21,Bitcoin,2017-06-25,44.0
22,Bitcoin,2017-07-02,29.0
23,Bitcoin,2017-07-09,60.0
24,Bitcoin,2017-07-16,47.0
25,Bitcoin,2017-07-23,27.0
26,Bitcoin,2017-07-30,29.0
27,Bitcoin,2017-08-06,44.0
28,Bitcoin,2017-08-13,42.0
29,Bitcoin,2017-08-20,50.0
30,Bitcoin,2017-08-27,27.0
31,Bitcoin,2017-09-03,44.0
32,Bitcoin,2017-09-10,42.0
33,Bitcoin,2017-09-17,18.0
34,Bitcoin,2017-09-24,23.0
35,Bitcoin,2017-10-01,33.0
36,Bitcoin,2017-10-08,35.0
37,Bitcoin,2017-10-15,35.0
38,Bitcoin,2017-10-22,15.0
39,Bitcoin,2017-10-29,15.0
40,Bitcoin,2017-11-05,23.0
41,Bitcoin,2017-11-12,38.0
42,Bitcoin,2017-11-19,14.0
43,Bitcoin,2017-11-26,29.0
44,Bitcoin,2017-12-03,24.0
45,Bitcoin,2017-12-10,20.0
46,Bitcoin,2017-12-17,23.0
47,Bitcoin,2017-12-24,9.0
48,Bitcoin,2017-12-31,13.0
49,Bitcoin,2018-01-07,12.0
50,Bitcoin,2018-01-14,9.0
51,Bitcoin,2018-01-21,24.0
52,Bitcoin,2018-01-28,15.0
53,Bitcoin,2018-02-04,16.0
54,Bitcoin,2018-02-11,25.0
55,Bitcoin,2018-02-18,5.0
56,Bitcoin,2018-02-25,1.0
57,Bitcoin Cash,2017-01-29,22.0
58,Bitcoin Cash,2017-02-05,42.0
59,Bitcoin Cash,2017-02-12,30.0
60,Bitcoin Cash,2017-02-19,21.0
61,Bitcoin Cash,2017-02-26,16.0
62,Bitcoin Cash,2017-03-05,14.0
63,Bitcoin Cash,2017-03-12,1.0
64,Bitcoin Cash,2017-03-19,12.0
65,Bitcoin Cash,2017-03-26,17.0
66,Bitcoin Cash,2017-04-02,32.0
67,Bitcoin Cash,2017-04-09,13.0
68,Bitcoin Cash,2017-04-16,17.0
69,Bitcoin Cash,2017-04-23,9.0
70,Bitcoin Cash,2017-04-30,5.0
71,Bitcoin Cash,2017-05-07,21.0
72,Bitcoin Cash,2017-05-14,14.0
73,Bitcoin Cash,2017-05-21,9.0
74,Bitcoin Cash,2017-05-28,33.0
75,Bitcoin Cash,2017-06-04,112.0
76,Bitcoin Cash,2017-06-11,59.0
77,Bitcoin Cash,2017-06-18,63.0
78,Bitcoin Cash,2017-06-25,7.0
79,Bitcoin Cash,2017-07-02,14.0
80,Bitcoin Cash,2017-07-09,28.0
81,Bitcoin Cash,2017-07-16,35.0
82,Bitcoin Cash,2017-07-23,21.0
83,Bitcoin Cash,2017-07-30,37.0
84,Bitcoin Cash,2017-08-06,26.0
85,Bitcoin Cash,2017-08-13,5.0
86,Bitcoin Cash,2017-08-20,18.0
87,Bitcoin Cash,2017-08-27,25.0
88,Bitcoin Cash,2017-09-03,18.0
89,Bitcoin Cash,2017-09-10,5.0
90,Bitcoin Cash,2017-09-17,3.0
91,Bitcoin Cash,2017-09-24,22.0
92,Bitcoin Cash,2017-10-01,9.0
93,Bitcoin Cash,2017-10-08,10.0
94,Bitcoin Cash,2017-10-15,15.0
95,Bitcoin Cash,2017-10-22,0.0
96,Bitcoin Cash,2017-10-29,10.0
97,Bitcoin Cash,2017-11-05,25.0
98,Bitcoin Cash,2017-11-12,42.0
99,Bitcoin Cash,2017-11-19,13.0
100,Bitcoin Cash,2017-11-26,18.0
101,Bitcoin Cash,2017-12-03,31.0
102,Bitcoin Cash,2017-12-10,36.0
103,Bitcoin Cash,2017-12-17,30.0
104,Bitcoin Cash,2017-12-24,6.0
105,Bitcoin Cash,2017-12-31,28.0
106,Bitcoin Cash,2018-01-07,10.0
107,Bitcoin Cash,2018-01-14,13.0
108,Bitcoin Cash,2018-01-21,3.0
109,Bitcoin Cash,2018-01-28,0.0
110,Bitcoin Cash,2018-02-04,3.0
111,Bitcoin Cash,2018-02-11,8.0
112,Bitcoin Cash,2018-02-18,9.0
113,Bitcoin Cash,2018-02-25,0.0
114,Dfinity,2017-01-29,0.0
115,Dfinity,2017-02-05,0.0
116,Dfinity,2017-02-12,0.0
117,Dfinity,2017-02-19,0.0
118,Dfinity,2017-02-26,0.0
119,Dfinity,2017-03-05,0.0
120,Dfinity,2017-03-12,0.0
121,Dfinity,2017-03-19,0.0
122,Dfinity,2017-03-26,0.0
123,Dfinity,2017-04-02,0.0
124,Dfinity,2017-04-09,0.0
125,Dfinity,2017-04-16,0.0
126,Dfinity,2017-04-23,0.0
127,Dfinity,2017-04-30,0.0
128,Dfinity,2017-05-07,0.0
129,Dfinity,2017-05-14,0.0
130,Dfinity,2017-05-21,0.0
131,Dfinity,2017-05-28,0.0
132,Dfinity,2017-06-04,0.0
133,Dfinity,2017-06-11,0.0
134,Dfinity,2017-06-18,0.0
135,Dfinity,2017-06-25,0.0
136,Dfinity,2017-07-02,0.0
137,Dfinity,2017-07-09,0.0
138,Dfinity,2017-07-16,0.0
139,Dfinity,2017-07-23,0.0
140,Dfinity,2017-07-30,4.0
141,Dfinity,2017-08-06,6.0
142,Dfinity,2017-08-13,19.0
143,Dfinity,2017-08-20,12.0
144,Dfinity,2017-08-27,11.0
145,Dfinity,2017-09-03,0.0
146,Dfinity,2017-09-10,3.0
147,Dfinity,2017-09-17,7.0
148,Dfinity,2017-09-24,2.0
149,Dfinity,2017-10-01,0.0
150,Dfinity,2017-10-08,0.0
151,Dfinity,2017-10-15,0.0
152,Dfinity,2017-10-22,0.0
153,Dfinity,2017-10-29,0.0
154,Dfinity,2017-11-05,0.0
155,Dfinity,2017-11-12,0.0
156,Dfinity,2017-11-19,0.0
157,Dfinity,2017-11-26,0.0
158,Dfinity,2017-12-03,0.0
159,Dfinity,2017-12-10,0.0
160,Dfinity,2017-12-17,1.0
161,Dfinity,2017-12-24,0.0
162,Dfinity,2017-12-31,18.0
163,Dfinity,2018-01-07,27.0
164,Dfinity,2018-01-14,22.0
165,Dfinity,2018-01-21,1.0
166,Dfinity,2018-01-28,0.0
167,Dfinity,2018-02-04,0.0
168,Dfinity,2018-02-11,0.0
169,Dfinity,2018-02-18,0.0
170,Dfinity,2018-02-25,0.0
171,EOS,2017-03-05,0.0
172,EOS,2017-03-12,0.0
173,EOS,2017-03-19,0.0
174,EOS,2017-03-26,0.0
175,EOS,2017-04-02,17.0
176,EOS,2017-04-09,24.0
177,EOS,2017-04-16,12.0
178,EOS,2017-04-23,24.0
179,EOS,2017-04-30,18.0
180,EOS,2017-05-07,3.0
181,EOS,2017-05-14,0.0
182,EOS,2017-05-21,3.0
183,EOS,2017-05-28,28.0
184,EOS,2017-06-04,10.0
185,EOS,2017-06-11,24.0
186,EOS,2017-06-18,42.0
187,EOS,2017-06-25,39.0
188,EOS,2017-07-02,29.0
189,EOS,2017-07-09,23.0
190,EOS,2017-07-16,23.0
191,EOS,2017-07-23,55.0
192,EOS,2017-07-30,51.0
193,EOS,2017-08-06,54.0
194,EOS,2017-08-13,38.0
195,EOS,2017-08-20,94.0
196,EOS,2017-08-27,109.0
197,EOS,2017-09-03,137.0
198,EOS,2017-09-10,104.0
199,EOS,2017-09-17,24.0
200,EOS,2017-09-24,33.0
201,EOS,2017-10-01,30.0
202,EOS,2017-10-08,24.0
203,EOS,2017-10-15,21.0
204,EOS,2017-10-22,23.0
205,EOS,2017-10-29,52.0
206,EOS,2017-11-05,73.0
207,EOS,2017-11-12,88.0
208,EOS,2017-11-19,80.0
209,EOS,2017-11-26,121.0
210,EOS,2017-12-03,75.0
211,EOS,2017-12-10,53.0
212,EOS,2017-12-17,35.0
213,EOS,2017-12-24,11.0
214,EOS,2017-12-31,31.0
215,EOS,2018-01-07,93.0
216,EOS,2018-01-14,105.0
217,EOS,2018-01-21,97.0
218,EOS,2018-01-28,108.0
219,EOS,2018-02-04,114.0
220,EOS,2018-02-11,84.0
221,EOS,2018-02-18,41.0
222,EOS,2018-02-25,6.0
223,Ethereum,2017-01-29,12.0
224,Ethereum,2017-02-05,12.0
225,Ethereum,2017-02-12,18.0
226,Ethereum,2017-02-19,32.0
227,Ethereum,2017-02-26,32.0
228,Ethereum,2017-03-05,16.0
229,Ethereum,2017-03-12,6.0
230,Ethereum,2017-03-19,19.0
231,Ethereum,2017-03-26,6.0
232,Ethereum,2017-04-02,17.0
233,Ethereum,2017-04-09,33.0
234,Ethereum,2017-04-16,11.0
235,Ethereum,2017-04-23,9.0
236,Ethereum,2017-04-30,24.0
237,Ethereum,2017-05-07,13.0
238,Ethereum,2017-05-14,6.0
239,Ethereum,2017-05-21,25.0
240,Ethereum,2017-05-28,26.0
241,Ethereum,2017-06-04,9.0
242,Ethereum,2017-06-11,6.0
243,Ethereum,2017-06-18,31.0
244,Ethereum,2017-06-25,19.0
245,Ethereum,2017-07-02,10.0
246,Ethereum,2017-07-09,14.0
247,Ethereum,2017-07-16,12.0
248,Ethereum,2017-07-23,5.0
249,Ethereum,2017-07-30,18.0
250,Ethereum,2017-08-06,31.0
251,Ethereum,2017-08-13,20.0
252,Ethereum,2017-08-20,21.0
253,Ethereum,2017-08-27,5.0
254,Ethereum,2017-09-03,28.0
255,Ethereum,2017-09-10,16.0
256,Ethereum,2017-09-17,8.0
257,Ethereum,2017-09-24,7.0
258,Ethereum,2017-10-01,15.0
259,Ethereum,2017-10-08,16.0
260,Ethereum,2017-10-15,17.0
261,Ethereum,2017-10-22,12.0
262,Ethereum,2017-10-29,4.0
263,Ethereum,2017-11-05,17.0
264,Ethereum,2017-11-12,22.0
265,Ethereum,2017-11-19,19.0
266,Ethereum,2017-11-26,13.0
267,Ethereum,2017-12-03,13.0
268,Ethereum,2017-12-10,15.0
269,Ethereum,2017-12-17,27.0
270,Ethereum,2017-12-24,5.0
271,Ethereum,2017-12-31,20.0
272,Ethereum,2018-01-07,10.0
273,Ethereum,2018-01-14,5.0
274,Ethereum,2018-01-21,14.0
275,Ethereum,2018-01-28,10.0
276,Ethereum,2018-02-04,13.0
277,Ethereum,2018-02-11,30.0
278,Ethereum,2018-02-18,25.0
279,Ethereum,2018-02-25,7.0
280,Filecoin,2017-01-29,0.0
281,Filecoin,2017-02-05,0.0
282,Filecoin,2017-02-12,0.0
283,Filecoin,2017-02-19,0.0
284,Filecoin,2017-02-26,0.0
285,Filecoin,2017-03-05,0.0
286,Filecoin,2017-03-12,1.0
287,Filecoin,2017-03-19,0.0
288,Filecoin,2017-03-26,0.0
289,Filecoin,2017-04-02,0.0
290,Filecoin,2017-04-09,0.0
291,Filecoin,2017-04-16,0.0
292,Filecoin,2017-04-23,0.0
293,Filecoin,2017-04-30,0.0
294,Filecoin,2017-05-07,1.0
295,Filecoin,2017-05-14,0.0
296,Filecoin,2017-05-21,1.0
297,Filecoin,2017-05-28,0.0
298,Filecoin,2017-06-04,0.0
299,Filecoin,2017-06-11,1.0
300,Filecoin,2017-06-18,0.0
301,Filecoin,2017-06-25,0.0
302,Filecoin,2017-07-02,1.0
303,Filecoin,2017-07-09,0.0
304,Filecoin,2017-07-16,0.0
305,Filecoin,2017-07-23,0.0
306,Filecoin,2017-07-30,0.0
307,Filecoin,2017-08-06,0.0
308,Filecoin,2017-08-13,0.0
309,Filecoin,2017-08-20,20.0
310,Filecoin,2017-08-27,0.0
311,Filecoin,2017-09-03,0.0
312,Filecoin,2017-09-10,0.0
313,Filecoin,2017-09-17,0.0
314,Filecoin,2017-09-24,0.0
315,Filecoin,2017-10-01,0.0
316,Filecoin,2017-10-08,0.0
