protocol,total_commits_past_year,total_forks_count,total_stars_count,created_at
Bitcoin,1835.0,15611.0,26655.0,2010-12-19
Bitcoin Cash,1125.0,238.0,477.0,2017-05-01
Dfinity,65.0,6.0,28.0,2017-07-31
Ethereum,823.0,3901.0,13006.0,2013-12-26
Filecoin,38.0,547.0,10939.0,2014-02-11
MaidSafe,66.0,80.0,557.0,2015-04-02
Maker,4004.0,20.0,61.0,2017-03-29
Monero,1133.0,1020.0,2398.0,2014-04-30
Raiblocks,695.0,272.0,1540.0,2014-05-01
Raiden,1554.0,218.0,1198.0,2016-01-29
Sia,1473.0,319.0,2287.0,2014-10-17
Storj,812.0,166.0,661.0,2014-07-15
Tezos,626.0,156.0,1063.0,2016-08-24
Urbit,119.0,126.0,1439.0,2014-08-29
Tether,,,,
Plasma,,,,
