,protocol,date,star_count
0,Bitcoin,2010-12-19,913.0
1,Bitcoin,2010-12-20,0.0
2,Bitcoin,2010-12-21,1.0
3,Bitcoin,2010-12-22,2.0
4,Bitcoin,2010-12-23,0.0
5,Bitcoin,2010-12-24,1.0
6,Bitcoin,2010-12-25,0.0
7,Bitcoin,2010-12-26,0.0
8,Bitcoin,2010-12-27,0.0
9,Bitcoin,2010-12-28,0.0
10,Bitcoin,2010-12-29,2.0
11,Bitcoin,2010-12-30,0.0
12,Bitcoin,2010-12-31,0.0
13,Bitcoin,2011-01-01,1.0
14,Bitcoin,2011-01-02,0.0
15,Bitcoin,2011-01-03,1.0
16,Bitcoin,2011-01-04,3.0
17,Bitcoin,2011-01-05,2.0
18,Bitcoin,2011-01-06,1.0
19,Bitcoin,2011-01-07,3.0
20,Bitcoin,2011-01-08,3.0
21,Bitcoin,2011-01-09,1.0
22,Bitcoin,2011-01-10,2.0
23,Bitcoin,2011-01-11,0.0
24,Bitcoin,2011-01-12,1.0
25,Bitcoin,2011-01-13,3.0
26,Bitcoin,2011-01-14,6.0
27,Bitcoin,2011-01-15,1.0
28,Bitcoin,2011-01-16,0.0
29,Bitcoin,2011-01-17,2.0
30,Bitcoin,2011-01-18,3.0
31,Bitcoin,2011-01-19,1.0
32,Bitcoin,2011-01-20,3.0
33,Bitcoin,2011-01-21,0.0
34,Bitcoin,2011-01-22,0.0
35,Bitcoin,2011-01-23,2.0
36,Bitcoin,2011-01-24,0.0
37,Bitcoin,2011-01-25,2.0
38,Bitcoin,2011-01-26,2.0
39,Bitcoin,2011-01-27,2.0
40,Bitcoin,2011-01-28,3.0
41,Bitcoin,2011-01-29,2.0
42,Bitcoin,2011-01-30,0.0
43,Bitcoin,2011-01-31,1.0
44,Bitcoin,2011-02-01,0.0
45,Bitcoin,2011-02-02,1.0
46,Bitcoin,2011-02-03,0.0
47,Bitcoin,2011-02-04,0.0
48,Bitcoin,2011-02-05,0.0
49,Bitcoin,2011-02-06,1.0
50,Bitcoin,2011-02-07,1.0
51,Bitcoin,2011-02-08,2.0
52,Bitcoin,2011-02-09,1.0
53,Bitcoin,2011-02-10,0.0
54,Bitcoin,2011-02-11,0.0
55,Bitcoin,2011-02-12,2.0
56,Bitcoin,2011-02-13,4.0
57,Bitcoin,2011-02-14,1.0
58,Bitcoin,2011-02-15,2.0
59,Bitcoin,2011-02-16,3.0
60,Bitcoin,2011-02-17,2.0
61,Bitcoin,2011-02-18,1.0
62,Bitcoin,2011-02-19,2.0
63,Bitcoin,2011-02-20,2.0
64,Bitcoin,2011-02-21,1.0
65,Bitcoin,2011-02-22,2.0
66,Bitcoin,2011-02-23,1.0
67,Bitcoin,2011-02-24,0.0
68,Bitcoin,2011-02-25,3.0
69,Bitcoin,2011-02-26,4.0
70,Bitcoin,2011-02-27,2.0
71,Bitcoin,2011-02-28,1.0
72,Bitcoin,2011-03-01,3.0
73,Bitcoin,2011-03-02,2.0
74,Bitcoin,2011-03-03,2.0
75,Bitcoin,2011-03-04,2.0
76,Bitcoin,2011-03-05,5.0
