,protocol,date,search_interest
0,Bitcoin,2018-01-21,72.0
1,Bitcoin,2018-01-22,77.0
2,Bitcoin,2018-01-23,76.0
3,Bitcoin,2018-01-24,70.0
4,Bitcoin,2018-01-25,66.0
5,Bitcoin,2018-01-26,66.0
6,Bitcoin,2018-01-27,56.0
7,Bitcoin,2018-01-28,95.0
8,Bitcoin,2018-01-29,89.0
9,Bitcoin,2018-01-30,85.0
10,Bitcoin,2018-01-31,89.0
11,Bitcoin,2018-02-01,58.0
12,Bitcoin,2018-02-02,96.0
13,Bitcoin,2018-02-03,96.0
14,Bitcoin,2018-02-04,88.0
15,Bitcoin,2018-02-05,76.0
16,Bitcoin,2018-02-06,96.0
17,Bitcoin,2018-02-07,90.0
18,Bitcoin,2018-02-08,84.0
19,Bitcoin,2018-02-09,65.0
20,Bitcoin,2018-02-10,79.0
21,Bitcoin,2018-02-11,84.0
22,Bitcoin,2018-02-12,81.0
23,Bitcoin,2018-02-13,95.0
24,Bitcoin,2018-02-14,82.0
25,Bitcoin,2018-02-15,97.0
26,Bitcoin,2018-02-16,90.0
27,Bitcoin,2018-02-17,82.0
28,Bitcoin,2018-02-18,91.0
29,Bitcoin,2018-02-19,89.0
30,Bitcoin,2018-02-20,86.0
31,Bitcoin,2018-02-21,82.0
32,Bitcoin,2018-02-22,91.0
33,Bitcoin,2018-02-23,94.0
34,Bitcoin,2018-02-24,94.0
35,Bitcoin,2018-02-25,83.0
36,Bitcoin,2018-02-26,80.0
37,Bitcoin,2018-02-27,84.0
38,Bitcoin Cash,2018-01-21,60.0
39,Bitcoin Cash,2018-01-22,74.0
40,Bitcoin Cash,2018-01-23,67.0
41,Bitcoin Cash,2018-01-24,68.0
42,Bitcoin Cash,2018-01-25,64.0
43,Bitcoin Cash,2018-01-26,65.0
44,Bitcoin Cash,2018-01-27,60.0
45,Bitcoin Cash,2018-01-28,57.0
46,Bitcoin Cash,2018-01-29,42.0
47,Bitcoin Cash,2018-01-30,44.0
