protocol,date,search_interest
Bitcoin,2018-01-21,72.0
Bitcoin,2018-01-22,77.0
Bitcoin,2018-01-23,76.0
Bitcoin,2018-01-24,70.0
Bitcoin,2018-01-25,66.0
Bitcoin,2018-01-26,66.0
Bitcoin,2018-01-27,56.0
Bitcoin,2018-01-28,95.0
Bitcoin,2018-01-29,89.0
Bitcoin Cash,2018-01-21,60.0
Bitcoin Cash,2018-01-22,74.0
Bitcoin Cash,2018-01-23,67.0
Bitcoin Cash,2018-01-24,68.0
Bitcoin Cash,2018-01-25,64.0
Bitcoin Cash,2018-01-26,65.0
Bitcoin Cash,2018-01-27,60.0
Bitcoin Cash,2018-01-28,57.0
Bitcoin Cash,2018-01-29,42.0
Dfinity,2018-01-21,21.0
Dfinity,2018-01-22,19.0
Dfinity,2018-01-23,22.0
Dfinity,2018-01-24,33.0
Dfinity,2018-01-25,40.0
Dfinity,2018-01-26,31.0
Dfinity,2018-01-27,27.0
Dfinity,2018-01-28,46.0
Dfinity,2018-01-29,32.0
Ethereum,2018-01-21,71.0
Ethereum,2018-01-22,72.0
Ethereum,2018-01-23,69.0
Ethereum,2018-01-24,62.0
Ethereum,2018-01-25,63.0
Ethereum,2018-01-26,56.0
Ethereum,2018-01-27,54.0
Ethereum,2018-01-28,87.0
Ethereum,2018-01-29,63.0
Filecoin,2018-01-21,60.0
Filecoin,2018-01-22,61.0
Filecoin,2018-01-23,62.0
Filecoin,2018-01-24,61.0
Filecoin,2018-01-25,59.0
Filecoin,2018-01-26,57.0
Filecoin,2018-01-27,48.0
Filecoin,2018-01-28,53.0
Filecoin,2018-01-29,41.0
MaidSafe,2018-01-21,36.0
MaidSafe,2018-01-22,57.0
MaidSafe,2018-01-23,47.0
MaidSafe,2018-01-24,37.0
MaidSafe,2018-01-25,37.0
MaidSafe,2018-01-26,34.0
MaidSafe,2018-01-27,37.0
MaidSafe,2018-01-28,31.0
MaidSafe,2018-01-29,19.0
Maker,2018-01-21,35.0
Maker,2018-01-22,38.0
Maker,2018-01-23,39.0
Maker,2018-01-24,40.0
Maker,2018-01-25,38.0
Maker,2018-01-26,39.0
Maker,2018-01-27,37.0
Maker,2018-01-28,45.0
Maker,2018-01-29,41.0
Monero,2018-01-21,87.0
Monero,2018-01-22,84.0
Monero,2018-01-23,76.0
Monero,2018-01-24,68.0
Monero,2018-01-25,65.0
Monero,2018-01-26,66.0
Monero,2018-01-27,72.0
Monero,2018-01-28,83.0
Monero,2018-01-29,62.0
Plasma,2018-01-21,78.0
Plasma,2018-01-22,68.0
Plasma,2018-01-23,72.0
Plasma,2018-01-24,72.0
Plasma,2018-01-25,71.0
Plasma,2018-01-26,67.0
Plasma,2018-01-27,64.0
Plasma,2018-01-28,80.0
Plasma,2018-01-29,64.0
Raiblocks,2018-01-21,50.0
Raiblocks,2018-01-22,40.0
Raiblocks,2018-01-23,36.0
Raiblocks,2018-01-24,42.0
Raiblocks,2018-01-25,38.0
Raiblocks,2018-01-26,52.0
Raiblocks,2018-01-27,59.0
Raiblocks,2018-01-28,75.0
Raiblocks,2018-01-29,48.0
Raiden,2018-01-21,73.0
Raiden,2018-01-22,50.0
Raiden,2018-01-23,50.0
Raiden,2018-01-24,52.0
Raiden,2018-01-25,50.0
Raiden,2018-01-26,58.0
Raiden,2018-01-27,61.0
Raiden,2018-01-28,61.0
Raiden,2018-01-29,40.0
Sia,2018-01-21,63.0
Sia,2018-01-22,62.0
Sia,2018-01-23,66.0
Sia,2018-01-24,66.0
Sia,2018-01-25,65.0
Sia,2018-01-26,62.0
Sia,2018-01-27,56.0
Sia,2018-01-28,66.0
Sia,2018-01-29,62.0
Storj,2018-01-21,77.0
Storj,2018-01-22,55.0
Storj,2018-01-23,62.0
Storj,2018-01-24,54.0
Storj,2018-01-25,52.0
Storj,2018-01-26,45.0
Storj,2018-01-27,50.0
Storj,2018-01-28,55.0
Storj,2018-01-29,47.0
Tether,2018-01-21,82.0
Tether,2018-01-22,61.0
Tether,2018-01-23,60.0
Tether,2018-01-24,52.0
Tether,2018-01-25,51.0
Tether,2018-01-26,49.0
Tether,2018-01-27,45.0
Tether,2018-01-28,80.0
Tether,2018-01-29,70.0
Tezos,2018-01-21,63.0
Tezos,2018-01-22,51.0
Tezos,2018-01-23,47.0
Tezos,2018-01-24,48.0
Tezos,2018-01-25,49.0
Tezos,2018-01-26,43.0
Tezos,2018-01-27,40.0
Tezos,2018-01-28,62.0
Tezos,2018-01-29,46.0
Urbit,2018-01-21,60.0
Urbit,2018-01-22,25.0
Urbit,2018-01-23,29.0
Urbit,2018-01-24,37.0
Urbit,2018-01-25,31.0
Urbit,2018-01-26,25.0
Urbit,2018-01-27,30.0
Urbit,2018-01-28,19.0
Urbit,2018-01-29,15.0
