protocol,date,question_id,views
Bitcoin,2017-01-11,1.0,253.0
Bitcoin,2017-01-12,1.0,200.0
Bitcoin,2017-01-14,1.0,44.0
Bitcoin,2017-01-15,1.0,47.0
Bitcoin,2017-01-16,2.0,740.0
Bitcoin,2017-01-20,1.0,1126.0
Bitcoin,2017-01-21,1.0,93.0
Bitcoin,2017-01-24,1.0,191.0
Bitcoin,2017-01-26,1.0,286.0
Bitcoin,2017-01-30,3.0,76.0
Bitcoin,2017-01-31,1.0,62.0
Bitcoin,2017-02-01,1.0,517.0
Bitcoin,2017-02-02,1.0,589.0
Bitcoin,2017-02-03,1.0,103.0
Bitcoin,2017-02-05,1.0,110.0
Bitcoin,2017-02-09,1.0,52.0
Bitcoin,2017-02-10,1.0,89.0
Bitcoin,2017-02-12,2.0,288.0
Bitcoin,2017-02-15,3.0,386.0
Bitcoin,2017-02-16,1.0,160.0
Bitcoin,2017-02-20,2.0,506.0
Bitcoin,2017-02-27,2.0,113.0
Bitcoin,2017-02-28,2.0,278.0
Bitcoin,2017-03-01,2.0,120.0
Bitcoin,2017-03-03,1.0,85.0
Bitcoin,2017-03-05,2.0,44.0
Bitcoin,2017-03-06,1.0,448.0
Bitcoin,2017-03-07,1.0,100.0
Bitcoin,2017-03-13,1.0,55.0
Bitcoin,2017-03-14,2.0,1224.0
Bitcoin,2017-03-19,1.0,12.0
Bitcoin,2017-03-20,2.0,31.0
Bitcoin,2017-03-22,1.0,70.0
Bitcoin,2017-03-24,1.0,205.0
Bitcoin,2017-03-25,2.0,446.0
Bitcoin,2017-03-27,1.0,226.0
Bitcoin,2017-03-28,1.0,319.0
Bitcoin,2017-03-31,1.0,181.0
Bitcoin,2017-04-02,4.0,257.0
Bitcoin,2017-04-03,1.0,223.0
Bitcoin,2017-04-04,1.0,322.0
Bitcoin,2017-04-05,1.0,181.0
Bitcoin,2017-04-07,1.0,109.0
Bitcoin,2017-04-08,1.0,180.0
Bitcoin,2017-04-09,1.0,50.0
Bitcoin,2017-04-11,1.0,34.0
Bitcoin,2017-04-12,1.0,40.0
Bitcoin,2017-04-13,3.0,100.0
Bitcoin,2017-04-15,1.0,408.0
Bitcoin,2017-04-17,1.0,172.0
Bitcoin,2017-04-20,1.0,1530.0
Bitcoin,2017-04-21,1.0,744.0
Bitcoin,2017-04-23,2.0,212.0
Bitcoin,2017-04-24,1.0,692.0
Bitcoin,2017-04-26,2.0,99.0
Bitcoin,2017-04-27,2.0,22.0
Bitcoin,2017-04-28,1.0,460.0
Bitcoin,2017-04-29,1.0,119.0
Bitcoin,2017-05-01,2.0,19.0
Bitcoin,2017-05-03,2.0,144.0
Bitcoin,2017-05-04,3.0,125.0
Bitcoin,2017-05-05,1.0,78.0
Bitcoin,2017-05-07,1.0,23.0
Bitcoin,2017-05-10,1.0,160.0
Bitcoin,2017-05-12,1.0,278.0
Bitcoin,2017-05-13,1.0,32.0
Bitcoin,2017-05-17,1.0,130.0
Bitcoin,2017-05-19,2.0,632.0
Bitcoin,2017-05-21,2.0,38.0
Bitcoin,2017-05-26,1.0,36.0
Bitcoin,2017-05-30,2.0,22.0
Bitcoin,2017-06-01,2.0,248.0
Bitcoin,2017-06-03,2.0,1404.0
Bitcoin,2017-06-05,6.0,494.0
Bitcoin,2017-06-07,1.0,507.0
Bitcoin,2017-06-08,2.0,569.0
Bitcoin,2017-06-09,1.0,50.0
Bitcoin,2017-06-10,1.0,298.0
Bitcoin,2017-06-11,1.0,1414.0
Bitcoin,2017-06-12,3.0,262.0
Bitcoin,2017-06-14,5.0,248.0
Bitcoin,2017-06-15,2.0,268.0
Bitcoin,2017-06-16,5.0,404.0
Bitcoin,2017-06-17,1.0,34.0
Bitcoin,2017-06-18,1.0,181.0
Bitcoin,2017-06-20,1.0,473.0
Bitcoin,2017-06-21,1.0,190.0
Bitcoin,2017-06-22,2.0,419.0
Bitcoin,2017-06-23,1.0,312.0
Bitcoin,2017-06-25,4.0,43.0
Bitcoin,2017-06-26,1.0,81.0
Bitcoin,2017-06-27,1.0,242.0
Bitcoin,2017-06-29,2.0,30.0
Bitcoin,2017-06-30,1.0,238.0
Bitcoin,2017-07-02,2.0,65.0
Bitcoin,2017-07-04,3.0,29.0
Bitcoin,2017-07-05,1.0,314.0
Bitcoin,2017-07-07,2.0,208.0
Bitcoin,2017-07-09,1.0,192.0
Bitcoin,2017-07-10,3.0,45.0
Bitcoin,2017-07-11,2.0,155.0
Bitcoin,2017-07-13,2.0,303.0
Bitcoin,2017-07-14,1.0,80.0
Bitcoin,2017-07-15,4.0,144.0
Bitcoin,2017-07-16,1.0,202.0
Bitcoin,2017-07-17,3.0,47.0
Bitcoin,2017-07-18,1.0,81.0
Bitcoin,2017-07-19,3.0,79.0
Bitcoin,2017-07-20,1.0,116.0
Bitcoin,2017-07-22,3.0,63.0
Bitcoin,2017-07-24,1.0,642.0
Bitcoin,2017-07-26,1.0,62.0
Bitcoin,2017-07-27,2.0,83.0
Bitcoin,2017-07-28,1.0,100.0
Bitcoin,2017-07-31,4.0,806.0
Bitcoin,2017-08-01,1.0,186.0
Bitcoin,2017-08-02,3.0,133.0
Bitcoin,2017-08-04,3.0,498.0
Bitcoin,2017-08-05,1.0,634.0
Bitcoin,2017-08-06,1.0,150.0
Bitcoin,2017-08-07,1.0,297.0
Bitcoin,2017-08-09,3.0,1546.0
Bitcoin,2017-08-10,1.0,3021.0
Bitcoin,2017-08-13,4.0,85.0
Bitcoin,2017-08-14,2.0,36.0
Bitcoin,2017-08-15,1.0,2217.0
Bitcoin,2017-08-16,2.0,222.0
Bitcoin,2017-08-17,1.0,69.0
Bitcoin,2017-08-18,3.0,1278.0
Bitcoin,2017-08-20,2.0,128.0
Bitcoin,2017-08-22,1.0,38.0
Bitcoin,2017-08-23,3.0,33.0
Bitcoin,2017-08-24,2.0,203.0
Bitcoin,2017-08-25,1.0,2844.0
Bitcoin,2017-08-27,3.0,998.0
Bitcoin,2017-08-29,2.0,814.0
Bitcoin,2017-08-30,2.0,379.0
Bitcoin,2017-08-31,1.0,394.0
Bitcoin,2017-09-01,1.0,23.0
Bitcoin,2017-09-02,2.0,79.0
Bitcoin,2017-09-03,2.0,195.0
Bitcoin,2017-09-04,1.0,70.0
