,protocol,date,follower_count
0,Bitcoin,2018-01-28,737285
1,Bitcoin,2018-01-29,739610
2,Bitcoin,2018-01-31,744102
3,Bitcoin,2018-02-01,746274
4,Bitcoin,2018-02-02,748475
5,Bitcoin,2018-02-03,749844
6,Bitcoin,2018-02-04,751582
7,Bitcoin,2018-02-05,753623
8,Bitcoin,2018-02-06,756181
9,Bitcoin,2018-02-07,758614
10,Bitcoin,2018-02-08,761318
11,Bitcoin,2018-02-09,763975
12,Bitcoin,2018-02-11,767842
13,Bitcoin,2018-02-12,769190
14,Bitcoin,2018-02-13,770361
15,Bitcoin,2018-02-14,771901
16,Bitcoin,2018-02-15,773648
17,Bitcoin,2018-02-16,775026
18,Bitcoin,2018-02-17,776379
19,Bitcoin,2018-02-18,777904
20,Bitcoin,2018-02-19,779366
21,Bitcoin,2018-02-20,780985
22,Bitcoin,2018-02-21,782412
23,Bitcoin,2018-02-22,784011
24,Bitcoin,2018-02-23,785187
25,Bitcoin,2018-02-24,786526
26,Bitcoin,2018-02-25,787852
27,Bitcoin,2018-02-26,789173
28,Bitcoin,2018-02-27,789680
29,Bitcoin Cash,2018-01-28,89378
30,Bitcoin Cash,2018-01-29,89727
31,Bitcoin Cash,2018-01-31,90250
32,Bitcoin Cash,2018-02-01,90442
33,Bitcoin Cash,2018-02-02,90633
34,Bitcoin Cash,2018-02-03,90804
35,Bitcoin Cash,2018-02-04,90971
36,Bitcoin Cash,2018-02-05,91193
37,Bitcoin Cash,2018-02-06,91386
38,Bitcoin Cash,2018-02-07,91622
39,Bitcoin Cash,2018-02-08,92071
40,Bitcoin Cash,2018-02-09,92411
41,Bitcoin Cash,2018-02-11,92823
42,Bitcoin Cash,2018-02-12,92972
43,Bitcoin Cash,2018-02-13,93178
44,Bitcoin Cash,2018-02-14,93430
45,Bitcoin Cash,2018-02-15,93619
46,Bitcoin Cash,2018-02-16,93851
47,Bitcoin Cash,2018-02-17,94070
48,Bitcoin Cash,2018-02-18,94245
49,Bitcoin Cash,2018-02-19,94450
50,Bitcoin Cash,2018-02-20,94625
51,Bitcoin Cash,2018-02-21,94758
52,Bitcoin Cash,2018-02-22,94898
53,Bitcoin Cash,2018-02-23,94952
54,Bitcoin Cash,2018-02-24,95070
55,Bitcoin Cash,2018-02-25,95175
56,Bitcoin Cash,2018-02-26,95345
57,Bitcoin Cash,2018-02-27,95421
58,Dfinity,2018-01-28,13260
59,Dfinity,2018-01-29,13527
60,Dfinity,2018-01-31,13952
61,Dfinity,2018-02-01,14099
62,Dfinity,2018-02-02,14151
63,Dfinity,2018-02-03,14168
64,Dfinity,2018-02-04,14277
65,Dfinity,2018-02-05,14367
66,Dfinity,2018-02-06,14608
67,Dfinity,2018-02-07,14956
68,Dfinity,2018-02-08,15527
69,Dfinity,2018-02-09,15778
70,Dfinity,2018-02-11,16275
71,Dfinity,2018-02-12,16582
72,Dfinity,2018-02-13,16817
73,Dfinity,2018-02-14,17012
74,Dfinity,2018-02-15,17205
75,Dfinity,2018-02-16,17367
76,Dfinity,2018-02-17,17516
77,Dfinity,2018-02-18,17632
78,Dfinity,2018-02-19,17800
79,Dfinity,2018-02-20,17976
80,Dfinity,2018-02-21,18093
81,Dfinity,2018-02-22,18205
82,Dfinity,2018-02-23,18341
83,Dfinity,2018-02-24,18466
84,Dfinity,2018-02-25,18587
85,Dfinity,2018-02-26,18690
86,Dfinity,2018-02-27,18730
87,EOS,2018-02-27,115940
88,Ethereum,2018-01-28,342108
89,Ethereum,2018-01-29,343549
90,Ethereum,2018-01-31,346024
91,Ethereum,2018-02-01,347302
92,Ethereum,2018-02-02,348273
93,Ethereum,2018-02-03,349072
94,Ethereum,2018-02-04,349922
95,Ethereum,2018-02-05,350954
96,Ethereum,2018-02-06,351930
97,Ethereum,2018-02-07,353060
98,Ethereum,2018-02-08,354222
99,Ethereum,2018-02-09,355254
100,Ethereum,2018-02-11,357205
101,Ethereum,2018-02-12,357988
102,Ethereum,2018-02-13,358845
103,Ethereum,2018-02-14,359702
104,Ethereum,2018-02-15,360582
105,Ethereum,2018-02-16,361420
106,Ethereum,2018-02-17,362201
107,Ethereum,2018-02-18,362989
108,Ethereum,2018-02-19,363655
109,Ethereum,2018-02-20,364569
110,Ethereum,2018-02-21,365315
111,Ethereum,2018-02-22,366003
112,Ethereum,2018-02-23,366484
113,Ethereum,2018-02-24,367075
114,Ethereum,2018-02-25,367696
115,Ethereum,2018-02-26,368233
116,Ethereum,2018-02-27,368446
117,Filecoin,2018-01-28,19071
118,Filecoin,2018-01-29,19166
119,Filecoin,2018-01-31,19284
120,Filecoin,2018-02-01,19335
121,Filecoin,2018-02-02,19381
122,Filecoin,2018-02-03,19433
123,Filecoin,2018-02-04,19467
124,Filecoin,2018-02-05,19503
125,Filecoin,2018-02-06,19526
126,Filecoin,2018-02-07,19579
127,Filecoin,2018-02-08,19627
128,Filecoin,2018-02-09,19665
129,Filecoin,2018-02-11,19746
130,Filecoin,2018-02-12,19772
131,Filecoin,2018-02-13,19820
132,Filecoin,2018-02-14,19855
133,Filecoin,2018-02-15,19892
134,Filecoin,2018-02-16,19936
135,Filecoin,2018-02-17,19951
136,Filecoin,2018-02-18,19992
137,Filecoin,2018-02-19,20034
138,Filecoin,2018-02-20,20090
139,Filecoin,2018-02-21,20127
140,Filecoin,2018-02-22,20158
141,Filecoin,2018-02-23,20192
142,Filecoin,2018-02-24,20228
143,Filecoin,2018-02-25,20251
144,Filecoin,2018-02-26,20276
145,Filecoin,2018-02-27,20288
146,MaidSafe,2018-01-28,54406
147,MaidSafe,2018-01-29,54499
148,MaidSafe,2018-01-31,54652
149,MaidSafe,2018-02-01,54731
150,MaidSafe,2018-02-02,54801
151,MaidSafe,2018-02-03,54853
152,MaidSafe,2018-02-04,54906
153,MaidSafe,2018-02-05,54951
154,MaidSafe,2018-02-06,54979
155,MaidSafe,2018-02-07,55021
156,MaidSafe,2018-02-08,55072
157,MaidSafe,2018-02-09,55110
158,MaidSafe,2018-02-11,55184
159,MaidSafe,2018-02-12,55225
160,MaidSafe,2018-02-13,55280
161,MaidSafe,2018-02-14,55350
162,MaidSafe,2018-02-15,55411
163,MaidSafe,2018-02-16,55454
164,MaidSafe,2018-02-17,55488
165,MaidSafe,2018-02-18,55549
166,MaidSafe,2018-02-19,55618
167,MaidSafe,2018-02-20,55690
168,MaidSafe,2018-02-21,55735
169,MaidSafe,2018-02-22,55762
170,MaidSafe,2018-02-23,55785
171,MaidSafe,2018-02-24,55841
172,MaidSafe,2018-02-25,55892
173,MaidSafe,2018-02-26,55907
174,MaidSafe,2018-02-27,55904
175,Maker,2018-01-28,4585
176,Maker,2018-01-29,4657
177,Maker,2018-01-31,4813
178,Maker,2018-02-01,4878
179,Maker,2018-02-02,4942
180,Maker,2018-02-03,5011
181,Maker,2018-02-04,5039
182,Maker,2018-02-05,5073
183,Maker,2018-02-06,5117
184,Maker,2018-02-07,5150
185,Maker,2018-02-08,5181
186,Maker,2018-02-09,5211
187,Maker,2018-02-11,5279
188,Maker,2018-02-12,5346
189,Maker,2018-02-13,5415
190,Maker,2018-02-14,5452
191,Maker,2018-02-15,5567
192,Maker,2018-02-16,5685
193,Maker,2018-02-17,5791
194,Maker,2018-02-18,5939
195,Maker,2018-02-19,6028
196,Maker,2018-02-20,6103
197,Maker,2018-02-21,6146
198,Maker,2018-02-22,6201
199,Maker,2018-02-23,6266
200,Maker,2018-02-24,6299
201,Maker,2018-02-25,6350
202,Maker,2018-02-26,6380
203,Maker,2018-02-27,6392
204,Monero,2018-01-28,251614
205,Monero,2018-01-29,252647
206,Monero,2018-01-31,254497
207,Monero,2018-02-01,255176
208,Monero,2018-02-02,255789
209,Monero,2018-02-03,256312
210,Monero,2018-02-04,256962
211,Monero,2018-02-05,257532
212,Monero,2018-02-06,258097
213,Monero,2018-02-07,258821
214,Monero,2018-02-08,259637
215,Monero,2018-02-09,260569
216,Monero,2018-02-11,261922
217,Monero,2018-02-12,262376
218,Monero,2018-02-13,262956
219,Monero,2018-02-14,263683
220,Monero,2018-02-15,264387
221,Monero,2018-02-16,265030
222,Monero,2018-02-17,265729
223,Monero,2018-02-18,266346
224,Monero,2018-02-19,266956
225,Monero,2018-02-20,267739
226,Monero,2018-02-21,268454
227,Monero,2018-02-22,269038
228,Monero,2018-02-23,269506
229,Monero,2018-02-24,270011
230,Monero,2018-02-25,270489
231,Monero,2018-02-26,271018
232,Monero,2018-02-27,271210
233,Plasma,2018-01-28,1877
234,Plasma,2018-01-29,1881
235,Plasma,2018-01-31,1902
236,Plasma,2018-02-01,1901
237,Plasma,2018-02-02,1906
238,Plasma,2018-02-03,1912
239,Plasma,2018-02-04,1915
240,Plasma,2018-02-05,1921
241,Plasma,2018-02-06,1926
242,Plasma,2018-02-07,1924
243,Plasma,2018-02-08,1928
244,Plasma,2018-02-09,1928
245,Plasma,2018-02-11,1958
246,Plasma,2018-02-12,1962
247,Plasma,2018-02-13,1963
248,Plasma,2018-02-14,1964
249,Plasma,2018-02-15,1963
250,Plasma,2018-02-16,1963
251,Plasma,2018-02-17,1957
252,Plasma,2018-02-18,1958
253,Plasma,2018-02-19,1961
254,Plasma,2018-02-20,1959
255,Plasma,2018-02-21,1956
256,Plasma,2018-02-22,1958
257,Plasma,2018-02-23,1962
258,Plasma,2018-02-24,1962
259,Plasma,2018-02-25,1961
260,Plasma,2018-02-26,1956
261,Plasma,2018-02-27,1955
262,Raiblocks,2018-01-28,71272
263,Raiblocks,2018-01-29,71632
264,Raiblocks,2018-01-31,68678
265,Raiblocks,2018-02-01,231
266,Raiblocks,2018-02-02,283
267,Raiblocks,2018-02-03,329
268,Raiblocks,2018-02-04,363
269,Raiblocks,2018-02-05,386
270,Raiblocks,2018-02-06,405
271,Raiblocks,2018-02-07,429
272,Raiblocks,2018-02-08,442
273,Raiblocks,2018-02-09,462
274,Raiblocks,2018-02-11,547
275,Raiblocks,2018-02-12,568
276,Raiblocks,2018-02-13,75845
277,Raiblocks,2018-02-14,76262
278,Raiblocks,2018-02-15,76734
